nama_produk,harga_normal,harga_diskon,gambar,deskripsi
Blus Denna Coklat,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0890__5_480x480.jpg?v=1484122199,"
Detail Bahan Dan Ukuran : 

Bahan : Jersey 
Lingkar Dada : 105
Panjang Lengan :37 cm 
Panjang Baju :59 cm 

"
Blus Denna Toska,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0667__4_480x480.jpg?v=1484122150,"
Detail Bahan Dan Ukuran :  

Bahan : Jersey 
Lingkar Dada : 105
Panjang Lengan :37 cm 
Panjang Baju :59 cm 

"
Blus Devin Kuning,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0788_480x480.jpg?v=1484129462,"
Blus dengan bahan jersey,yang cocok di pakai untuk santai tinggal di padukan dengan celana pendek .
Detail Bahan Dan Ukuran 

Bahan : Jersey
Lingkar Dada :130 cm
panjang Baju : 60 cm
Panjang Lengan : 47 cm

"
Blus Devin Orange,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0136_480x480.jpg?v=1484129182,"
Blus dengan bahan jersey,yang cocok di pakai untuk santai tinggal di padukan dengan celana pendek .
Detail Bahan Dan Ukuran 



Bahan : Jersey
Lingkar Dada :130 cm
panjang Baju : 60 cm
Panjang Lengan : 47 cm 

"
Blus Elma Hitam,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1045__6_480x480.jpg?v=1485517001,"
Detail Bahan dan Ukuran :

Bahan : Katun
Lingkar Dada : 100 cm
Panjang Lengan : 53 cm
Panjang Blus : 65 cm

 
"
Blus Elma Pink,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1028__5_480x480.jpg?v=1485517032,"
Detail Bahan dan Ukuran :

Bahan : Katun
Lingkar Dada : 100 cm
Panjang Lengan : 53 cm
Panjang Blus : 65 cm

"
Blus Eloise Coklat,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2507_480x480.jpg?v=1484558210,"
Dtail Bahan Dan Ukuran 

Lingkar Dada : 86 cm
Panjang Baju : 73 cm 
Bahan : Jersey 

"
Blus Eloise Navy,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2510_480x480.jpg?v=1484557479,"
Dtail Bahan Dan Ukuran 

Lingkar Dada : 86 cm
Panjang Baju : 73 cm 
Bahan : Jersey 

"
Blus Eloise Salem,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2519_480x480.jpg?v=1484557210,"
Dtail Bahan Dan Ukuran 

Lingkar Dada : 86 cm
Panjang Baju : 73 cm 
Bahan : Jersey 

"
Blus Erga Hijau,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2070_480x480.jpg?v=1485250176,"
Detail Bahan dan Ukuran :

Bahan : Katun Rayon
Lingkar Dada : 96 cm
Panjang Lengan : 56 cm
Panjang Blus : 61 cm

"
Blus Ethany Biru,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_3070_626d8985-5c84-46c3-a498-efcabc03312b_480x480.jpg?v=1487843522,"
Detail Bahan Dan Ukuran 

Bahan : Hycon

Lingkar Dada : 98 cm 
Panjang Depan : 47 cm 
Panjang Belakang: 65 cm 

"
